user_id,subscription_id,plan,status,sub_start,sub_end
821,1495,Annual,3,2020-08-30,2021-08-30
824,2894,Annual,3,2020-04-15,2021-04-15
829,2162,Annual,3,2020-04-28,2022-04-28
830,1075,Annual,3,2020-11-03,2023-02-07
832,214,Annual,3,2021-01-15,2022-01-15
835,1369,Annual,3,2020-09-20,2022-09-29
837,886,Annual,3,2020-11-25,2021-11-25
838,2647,Annual,1,2020-04-19,NULL
840,301,Annual,3,2021-01-11,2022-04-11
840,8696,Annual,3,2022-05-06,2022-05-25
842,161,Annual,3,2021-01-18,2022-01-18
844,1169,Monthly,3,2020-10-05,2022-08-05
849,957,Quarter,1,2020-11-20,NULL
851,835,Annual,3,2020-11-27,2021-12-06
852,623,Annual,3,2020-12-02,2021-12-11
854,1130,Annual,3,2020-10-19,2021-10-28
855,1964,Annual,3,2020-05-28,2021-05-28
860,1188,Annual,3,2020-10-02,2021-10-02
863,1540,Monthly,1,2020-08-12,NULL
865,86,Annual,2,2021-01-21,2023-01-21
866,219,Annual,3,2021-01-15,2022-01-24
869,3330,Annual,1,2021-02-10,NULL
870,1158,Annual,3,2020-10-10,2021-10-10
871,1050,Quarter,3,2020-11-06,2021-11-10
872,884,Annual,3,2020-11-25,2021-12-04
872,10299,Annual,1,2022-09-29,NULL
874,183,Annual,3,2021-01-17,2022-01-17
875,760,Annual,3,2020-11-29,2021-12-08
876,2020,Annual,3,2020-05-11,2021-05-11
877,2931,Annual,3,2020-04-14,2021-04-14
880,2879,Annual,3,2020-04-15,2021-04-15
882,381,Annual,3,2021-01-04,2022-01-04
884,2863,Annual,1,2020-04-15,NULL
885,1069,Quarter,3,2020-11-03,2021-02-03
889,4,Monthly,3,2021-01-27,2021-05-27
890,31,Annual,3,2021-01-24,2022-01-27
893,1277,Annual,3,2020-09-24,2022-10-03
894,1844,Annual,3,2020-07-01,2021-10-01
896,118,Annual,3,2021-01-20,2021-02-05
900,1855,Annual,3,2020-06-30,2021-05-28
903,565,Annual,3,2020-12-04,2021-12-04
906,6,Monthly,3,2021-01-27,2021-02-27
909,583,Annual,3,2020-12-04,2021-12-04
911,1065,Annual,2,2020-11-04,2023-05-04
916,1509,Annual,2,2020-08-25,2021-09-25
917,1668,Annual,2,2020-07-14,2023-07-14
918,456,Monthly,3,2020-12-27,2021-02-27
919,2469,Annual,3,2020-04-22,2021-05-01
923,3246,Monthly,3,2021-02-01,2021-03-01
927,2097,Annual,3,2020-04-28,2022-05-07
928,2229,Annual,3,2020-04-26,2021-05-05
931,2126,Annual,3,2020-04-28,2021-05-04
933,389,Annual,3,2021-01-03,2022-01-03
936,1133,Annual,3,2020-10-19,2021-10-28
939,206,Annual,1,2021-01-15,NULL
940,8,Monthly,3,2021-01-27,2021-02-27
942,1144,Annual,3,2020-10-14,2022-01-14
947,768,Annual,1,2020-11-29,NULL
948,744,Annual,3,2020-11-29,2021-11-29
952,2554,Annual,3,2020-04-20,2021-04-20
954,2869,Annual,3,2020-04-15,2021-04-15
958,23,Annual,3,2021-01-25,2022-02-03
959,2896,Annual,3,2020-04-15,2021-04-15
960,940,Quarter,3,2020-11-23,2021-02-23
964,1762,Annual,3,2020-07-08,2021-07-08
965,286,Annual,3,2021-01-12,2022-01-13
969,2397,Annual,3,2020-04-23,2022-05-02
969,8703,Monthly,3,2022-05-07,2022-07-07
971,2767,Annual,3,2020-04-16,2021-04-16
973,2844,Annual,3,2020-04-16,2022-07-16
977,2058,Annual,3,2020-05-03,2021-05-03
980,1131,Monthly,3,2020-10-19,2021-02-19
982,1441,Annual,3,2020-09-12,2021-09-12
983,1197,Annual,3,2020-10-01,2021-10-10
985,9,Monthly,3,2021-01-26,2021-06-26
986,3078,Annual,3,2020-04-04,2021-04-04
987,1449,Annual,3,2020-09-09,2021-12-09
987,6964,Annual,3,2021-12-02,2021-12-02
987,7695,Monthly,3,2022-01-28,2022-02-28
988,2489,Annual,1,2020-04-21,NULL
991,11,Annual,2,2021-01-26,2023-01-26
993,1346,Annual,3,2020-09-22,2021-09-22
994,188,Annual,3,2021-01-16,2022-01-17
998,2911,Annual,3,2020-04-14,2022-04-23
998,9280,Annual,1,2022-06-27,NULL
999,1435,Monthly,1,2020-09-13,NULL
1002,3667,Annual,3,2021-03-16,2022-03-16
1002,9309,Annual,1,2022-06-29,NULL
1006,1011,Annual,3,2020-11-13,2021-11-13
1008,833,Annual,3,2020-11-27,2021-12-03
1008,6694,Annual,1,2021-11-29,NULL
1010,1240,Annual,3,2020-09-29,2021-09-29
1014,67,Annual,3,2021-01-21,2022-01-21
1016,1901,Annual,3,2020-06-15,2021-06-15
1016,6957,Annual,1,2021-12-01,NULL
1018,3049,Annual,3,2020-04-07,2021-04-06
1019,2985,Annual,3,2020-04-11,2021-04-20
1019,8259,Annual,1,2022-03-27,NULL
1023,5,Annual,1,2021-01-27,NULL
1024,13,Annual,2,2021-01-26,2022-01-26
1028,2719,Annual,3,2020-04-17,2021-04-17
1029,2037,Annual,1,2020-05-08,NULL
1032,3271,Monthly,3,2021-02-04,2021-02-05
1033,2541,Annual,3,2020-04-21,2021-04-21
1036,7660,Annual,3,2022-01-28,2023-02-06
1039,668,Annual,3,2020-11-30,2021-11-30
1040,1299,Annual,1,2020-09-24,NULL
1041,866,Annual,1,2020-11-26,NULL
1042,732,Annual,3,2020-11-29,2021-11-30
1045,305,Annual,3,2021-01-11,2022-04-20
1046,907,Annual,3,2020-11-25,2021-12-04
1046,8437,Annual,1,2022-04-05,NULL
1050,14,Monthly,3,2021-01-26,2021-02-04
1051,1429,Annual,3,2020-09-15,2021-09-15
1052,2466,Annual,3,2020-04-22,2022-04-22
1055,1597,Annual,3,2020-07-21,2021-10-21
1056,903,Annual,3,2020-11-25,2021-12-03
1057,1016,Annual,3,2020-11-12,2022-02-12
1063,16,Monthly,3,2021-01-26,2021-07-01
1063,4744,Monthly,3,2021-07-01,2021-12-01
1065,26,Monthly,3,2021-01-25,2021-02-25
1066,1389,Annual,3,2020-09-18,2021-12-18
1067,3210,Monthly,3,2021-01-29,2021-03-28
1069,763,Annual,2,2020-11-29,2022-11-29
1070,2983,Annual,3,2020-04-11,2021-03-09
1073,687,Annual,3,2020-11-30,2021-11-30
1084,17,Monthly,3,2021-01-26,2021-03-02
1086,2024,Annual,3,2020-05-09,2021-05-09
1086,4223,Quarter,3,2021-05-11,2021-08-18
1088,450,Monthly,3,2020-12-28,2021-03-28
1091,1897,Annual,3,2020-06-15,2021-09-15
1094,738,Annual,3,2020-11-29,2021-11-29
1094,6046,Annual,2,2021-11-24,2022-11-24
1095,1018,Quarter,3,2020-11-12,2021-02-12
1096,6212,Annual,3,2021-11-26,2021-12-22
1098,684,Annual,3,2020-11-30,2021-11-30
1099,2129,Annual,3,2020-04-28,2022-05-07
1102,1481,Annual,3,2020-09-01,2021-12-01
1102,6599,Annual,1,2021-11-29,NULL
1104,1793,Annual,3,2020-07-05,2021-07-05
1105,20,Annual,3,2021-01-26,2022-01-27
1108,351,Monthly,3,2021-01-07,2021-02-07
1110,1690,Annual,3,2020-07-10,2021-07-10
1116,184,Annual,3,2021-01-17,2022-01-26
1119,2597,Annual,1,2020-04-20,NULL
1120,1508,Annual,3,2020-08-26,2021-12-05
1125,2475,Annual,3,2020-04-22,2021-04-22
1128,607,Annual,3,2020-12-03,2022-03-12
1132,1784,Annual,1,2020-07-06,NULL
1134,1699,Annual,3,2020-07-10,2021-07-30
1140,1153,Annual,3,2020-10-11,2021-10-20
1142,2596,Annual,3,2020-04-20,2021-04-20
1143,1349,Annual,3,2020-09-22,2022-10-01
1145,265,Annual,3,2021-01-13,2023-01-22
1148,189,Monthly,3,2021-01-16,2021-04-16
1151,15,Monthly,3,2021-01-26,2021-02-26
1151,9237,Monthly,3,2022-06-23,2022-07-23
1151,9710,Monthly,3,2022-07-30,2022-09-30
1154,162,Annual,3,2021-01-18,2022-01-18
1155,1203,Annual,1,2020-10-01,NULL
1156,21,Annual,2,2021-01-26,2023-01-26
1159,956,Quarter,3,2020-11-20,2021-02-24
1159,3631,Monthly,3,2021-03-13,2021-05-17
1159,9033,Annual,1,2022-06-01,NULL
1165,1325,Annual,1,2020-09-23,NULL
1166,2043,Annual,3,2020-05-07,2021-05-07
1169,1071,Annual,3,2020-11-03,2021-11-12
1173,1370,Annual,1,2020-09-20,NULL
1175,2432,Monthly,3,2020-04-22,2022-04-22
1176,22,Annual,2,2021-01-25,2023-01-25
1183,3291,Annual,1,2021-02-06,NULL
1187,661,Annual,3,2020-11-30,2022-02-28
1188,1422,Annual,1,2020-09-15,NULL
1196,864,Annual,3,2020-11-26,2021-12-05
1201,650,Annual,1,2020-12-01,NULL
1203,2259,Annual,3,2020-04-25,2021-04-25
1207,96,Annual,1,2021-01-21,NULL
1208,725,Annual,3,2020-11-29,2021-11-29
1209,29,Annual,3,2021-01-24,2022-04-24
1211,4648,Monthly,3,2021-06-15,2022-01-15
1214,1596,Annual,3,2020-07-21,2021-09-07
1215,1589,Annual,3,2020-07-25,2022-09-29
1217,1985,Annual,3,2020-05-20,2021-05-20
1220,1490,Annual,3,2020-08-30,2021-08-30
1221,1443,Monthly,3,2020-09-11,2021-02-11
1221,6207,Annual,1,2021-11-26,NULL
1226,3249,Quarter,3,2021-02-02,2021-05-02
1234,991,Quarter,3,2020-11-16,2021-02-16
1235,2715,Annual,3,2020-04-17,2021-04-26
1235,6124,Annual,3,2021-11-25,2022-12-04
1238,25,Quarter,3,2021-01-25,2021-05-25
1241,1262,Annual,3,2020-09-25,2021-09-25
1242,980,Annual,2,2020-11-18,2022-11-18
1244,1645,Annual,3,2020-07-15,2021-07-15
1244,4402,Annual,1,2021-05-30,NULL
1246,132,Annual,1,2021-01-20,NULL
1248,2166,Annual,3,2020-04-27,2021-05-06
1249,3252,Annual,3,2021-02-02,2022-02-11
1253,464,Quarter,3,2020-12-27,2021-04-27
1257,802,Annual,3,2020-11-28,2021-11-29
1259,480,Annual,3,2020-12-24,2021-12-24
1266,4337,Annual,1,2021-05-27,NULL
1270,2551,Annual,1,2020-04-21,NULL
1271,4718,Monthly,3,2021-06-27,2021-07-31
1272,888,Annual,3,2020-11-25,2022-02-25
1277,810,Annual,3,2020-11-28,2021-11-28
1280,2753,Annual,3,2020-04-16,2022-05-05
1283,2459,Annual,1,2020-04-22,NULL
1284,4240,Monthly,3,2021-05-13,2021-06-13
1285,8756,Annual,1,2022-05-15,NULL
1286,1857,Annual,3,2020-06-30,2021-06-30
1292,27,Annual,3,2021-01-25,2022-04-25
1294,2150,Annual,3,2020-04-28,2021-04-28
1298,800,Annual,3,2020-11-28,2021-11-28
1299,71,Annual,1,2021-01-21,NULL
1302,2318,Annual,3,2020-04-24,2021-04-24
1306,2658,Annual,3,2020-04-18,2021-04-27
1306,8391,Annual,1,2022-03-31,NULL
1309,2842,Annual,3,2020-04-16,2021-04-25
1310,30,Monthly,3,2021-01-24,2021-10-24
1313,3222,Annual,3,2021-01-31,2022-02-01
1315,1511,Monthly,3,2020-08-25,2021-07-25
1317,3445,Annual,1,2021-02-22,NULL
1319,70,Annual,3,2021-01-21,2022-01-21
1320,697,Annual,3,2020-11-30,2022-02-28
1324,33,Annual,3,2021-01-24,2022-02-02
1325,548,Monthly,3,2020-12-08,2021-03-08
1327,1453,Annual,1,2020-09-08,NULL
1330,3227,Quarter,3,2021-01-31,2021-04-30
1331,578,Annual,3,2020-12-04,2021-12-13
1334,1718,Annual,3,2020-07-09,2021-07-09
1336,204,Monthly,3,2021-01-15,2021-07-15
1341,717,Annual,3,2020-11-29,2021-11-29
1343,805,Annual,3,2020-11-28,2022-02-28
1346,1100,Annual,3,2020-10-29,2021-10-29
1347,942,Monthly,3,2020-11-22,2021-05-22
1350,1913,Annual,3,2020-06-12,2022-03-06
1351,1866,Annual,1,2020-06-27,NULL
1353,1875,Monthly,3,2020-06-22,2021-06-22
1355,2176,Annual,1,2020-04-27,NULL
1357,190,Annual,3,2021-01-16,2022-01-25
1362,612,Monthly,3,2020-12-03,2021-03-03
1362,5216,Annual,1,2021-08-23,NULL
1363,2858,Annual,3,2020-04-15,2022-04-15
1369,2667,Annual,3,2020-04-18,2021-04-18
1373,146,Annual,3,2021-01-19,2022-04-19
1374,1289,Annual,3,2020-09-24,2021-09-24
1374,10602,Annual,1,2022-10-29,NULL
1375,1426,Annual,3,2020-09-15,2021-09-15
1382,2345,Annual,3,2020-04-23,2022-05-01
1382,10517,Annual,1,2022-10-20,NULL
1383,2409,Annual,3,2020-04-23,2021-05-02
1385,2856,Annual,3,2020-04-15,2021-04-15
1388,3309,Quarter,3,2021-02-08,2021-05-08
1388,4384,Monthly,3,2021-05-29,2021-05-31
1393,1387,Annual,3,2020-09-18,2021-09-18
1397,772,Annual,3,2020-11-29,2022-02-28
1399,1231,Annual,3,2020-09-30,2021-09-30
1404,215,Annual,3,2021-01-15,2023-01-24
1411,5539,Annual,1,2020-04-28,NULL
1417,1774,Annual,3,2020-07-07,2022-07-16
1419,3401,Annual,3,2021-02-17,2022-02-21
1419,6719,Annual,3,2021-11-29,2022-12-08
1421,2593,Annual,3,2020-04-20,2021-04-20
1424,2599,Annual,3,2020-04-20,2021-04-20
1426,595,Annual,3,2020-12-03,2021-12-12
1426,7358,Annual,3,2022-01-14,2023-01-23
1427,34,Monthly,3,2021-01-23,2021-02-27
1428,1079,Annual,3,2020-11-02,2021-11-02
1432,1198,Annual,3,2020-10-01,2021-10-10
1436,8475,Monthly,3,2022-04-08,2022-08-21
1436,10045,Monthly,1,2022-09-08,NULL
1437,2102,Annual,3,2020-04-28,2021-05-07
1440,2149,Annual,3,2020-04-28,2021-05-07
1442,2349,Annual,3,2020-04-23,2021-04-23
1447,130,Annual,3,2021-01-20,2022-01-20
1448,425,Monthly,1,2020-12-30,NULL
1450,36,Monthly,3,2021-01-23,2021-02-23
1451,1377,Annual,3,2020-09-19,2021-09-19
1452,1633,Annual,3,2020-07-16,2022-07-16
1456,3269,Annual,3,2021-02-03,2022-05-12
1458,2224,Annual,3,2020-04-26,2021-05-05
1459,2583,Annual,3,2020-04-20,2021-05-31
1461,2223,Annual,3,2020-04-26,2021-04-26
1465,1895,Annual,1,2020-06-15,NULL
1468,1310,Annual,3,2020-09-24,2021-09-24
1468,8874,Annual,1,2022-05-26,NULL
1469,1837,Annual,3,2020-07-01,2022-07-01
1471,344,Annual,3,2021-01-08,2022-01-08
1473,730,Annual,3,2020-11-29,2021-12-06
1473,6879,Annual,3,2021-12-01,2022-12-10
1478,37,Annual,3,2021-01-23,2022-01-24
1482,2813,Annual,3,2020-04-16,2022-04-23
1482,9884,Annual,1,2022-08-22,NULL
1483,1068,Quarter,3,2020-11-04,2021-02-09
1486,8162,Monthly,3,2022-03-20,2022-07-20
1486,9908,Monthly,1,2022-08-25,NULL
1486,9909,Monthly,3,2022-08-25,2022-10-12
1488,24,Monthly,3,2021-01-25,2021-05-25
1490,1487,Annual,1,2020-08-31,NULL
1491,38,Annual,3,2021-01-23,2022-01-23
1494,3957,Monthly,3,2021-04-03,2021-07-03
1500,466,Annual,1,2020-12-26,NULL
1501,2034,Annual,2,2020-05-08,2021-05-08
1502,241,Annual,3,2021-01-14,2022-01-14
1503,2063,Annual,3,2020-05-01,2021-05-10
1504,807,Annual,3,2020-11-28,2021-11-28
1508,605,Annual,1,2020-12-03,NULL
1513,723,Annual,3,2020-11-29,2022-12-08
1517,6504,Annual,2,2021-11-28,2022-11-28
1522,809,Annual,1,2020-11-28,NULL
1529,2252,Annual,3,2020-04-25,2021-04-25
1531,1651,Annual,3,2020-07-15,2021-07-15
1532,267,Annual,3,2021-01-13,2022-01-13
1534,40,Annual,1,2021-01-23,NULL
1535,98,Annual,3,2021-01-21,2022-01-30
1537,39,Annual,2,2021-01-23,2023-01-23
1538,95,Annual,3,2021-01-21,2022-01-30
1538,7712,Annual,3,2022-02-01,2023-02-10
1539,445,Annual,1,2020-12-29,NULL
1542,463,Annual,1,2020-12-27,NULL
1543,5907,Annual,3,2021-11-23,2022-11-24
1546,9624,Annual,1,2022-07-27,NULL
1550,1808,Annual,3,2020-07-04,2021-07-30
1552,2553,Annual,1,2020-04-20,NULL
1553,153,Annual,3,2021-01-19,2022-01-24
1554,47,Monthly,3,2021-01-22,2021-04-22
1558,699,Annual,1,2020-11-30,NULL
1561,1386,Annual,1,2020-09-18,NULL
1563,9252,Annual,1,2022-06-26,NULL
1565,43,Monthly,3,2021-01-23,2021-02-03
1566,44,Monthly,3,2021-01-23,2021-02-27
1567,3768,Annual,1,2021-03-18,NULL
1569,3079,Annual,3,2020-04-04,2021-04-04
1574,45,Monthly,3,2021-01-23,2021-02-27
1579,46,Monthly,3,2021-01-22,2021-02-26
1580,2059,Annual,3,2020-05-02,2022-05-02
1582,4992,Annual,3,2021-07-26,2021-08-06
1585,2104,Annual,3,2020-04-28,2021-05-03
1587,2607,Annual,2,2020-04-19,2021-04-19
1588,396,Annual,3,2021-01-03,2022-01-03
1590,468,Monthly,3,2020-12-26,2021-02-26
1591,2041,Annual,3,2020-05-07,2021-05-07
1594,91,Annual,1,2021-01-21,NULL
1595,1775,Annual,3,2020-07-07,2021-07-07
1597,2777,Annual,3,2020-04-16,2021-04-16
1598,1505,Monthly,3,2020-08-27,2021-10-01
1599,2780,Annual,3,2020-04-16,2021-04-16
1600,2438,Annual,1,2020-04-22,NULL
1602,2930,Annual,3,2020-04-14,2021-04-14
1603,2031,Annual,3,2020-05-09,2022-05-12
1606,972,Quarter,3,2020-11-19,2021-05-19
1611,2382,Annual,3,2020-04-23,2021-04-23
1615,1663,Annual,3,2020-07-14,2021-07-14
